Kingdom,Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp.A,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,Aurospio,Aurospio dibranchiata #249,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,Aurospio,Aurospio dibranchiata #1457,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio species #1426,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio species #1735,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio species #268,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,Aurospio,Auospio sp. nov. PIP#21,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. PIP# 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. PIP# 3,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. PIP# 5,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp. PIP# 4,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp A,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp B,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp C,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. (NHM_227),sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,Spionidae sp.1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp. 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp. 2 (thick),sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp. 3 (thin),sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Trochochaetidae,,,Trochochaetidae,Trochochaetidae sp. 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Trochochaetidae,,,Trochochaetidae,Trochochaetidae sp. 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,AB_ Acrocirridae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,AB_ Acrocirridae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,AB_ Acrocirridae sp 3,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,AB_ Acrocirridae sp 4,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,AB_ Acrocirridae sp 5,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,,,Ampharetidae,AB_ Ampharetidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,,,Ampharetidae,AB_ Ampharetidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,,,Ampharetidae,AB_ Ampharetidae sp 3,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,,,Cirratulidae,AB_ Cirratulidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,,,Cirratulidae,AB_ Cirratulidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,,,Cirratulidae,AB_ Cirratulidae sp 5,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,,,Cirratulidae,AB_ Cirratulidae sp 6,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Ctenodrilidae,,,Ctenodrilidae,AB_ Ctenodrilidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Fauveliopsidae,,,Fauveliopsidae,AB_ Fauveliopsidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,,,Flabelligeridae,AB_ Flabelligeridae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,,,Flabelligeridae,AB_ Flabelligeridae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,,,Trichobranchidae,AB_ Trichobranchidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,,,Trichobranchidae,AB_ Trichobranchidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,,,Trichobranchidae,AB_ Trichobranchidae sp 3,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,,,Trichobranchidae,AB_ Trichobranchidae sp 4,sediment,macrofauna
Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,,,Trichobranchidae,AB_ Trichobranchidae sp 5,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Capitellidae,,,Capitellidae,AB_ Capitellidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Capitellidae,,,Capitellidae,AB_ Capitellidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Opheliidae,,,Opheliidae,AB_ Opheliidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Opheliidae,,,Opheliidae,AB_ Opheliidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Opheliidae,,,Opheliidae,AB_ Opheliidae sp 3,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Opheliidae,,,Opheliidae,AB_ Opheliidae sp 4,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 3,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 4,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 5,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 6,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Oweniidae,,,Oweniidae,AB_ Oweniidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Oweniidae,,,Oweniidae,AB_ Oweniidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 3,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 4,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 5,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 6,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 7,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 8,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 9,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Scalibregmatidae,,,Scalibregmatidae,AB_ Scalibregmatidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Scalibregmatidae,,,Scalibregmatidae,AB_ Scalibregmatidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,,Scalibregmatidae,,,Scalibregmatidae,AB_ Scalibregmatidae sp 3,sediment,macrofauna
Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 1,sediment,macrofauna
Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 10,sediment,macrofauna
Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 2,sediment,macrofauna
Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 3,sediment,macrofauna
Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 4,sediment,macrofauna
