Site,Abundance,Species
UKSRL1 UK-1 UK1-A-J,2,AB_ Orbiniidae sp 2
UKSRL1 UK-1 UK1-A-G,1,AB_ Orbiniidae sp 3
UKSRL1 UK-1 UK1-A-C,1,AB_ Orbiniidae sp 4
UKSRL1 UK-1 UK1-A-G,1,AB_ Orbiniidae sp 5
UKSRL1 UK-1 UK1-A-J,1,AB_ Orbiniidae sp 6
UKSRL1 UK-1 UK1-A-A,1,AB_ Oweniidae sp 1
UKSRL1 UK-1 UK1-A-A,1,AB_ Oweniidae sp 2
UKSRL1 UK-1 UK1-A-I,1,AB_ Oweniidae sp 2
UKSRL1 UK-1 UK1-A-J,1,AB_ Oweniidae sp 2
UKSRL1 UK-1 UK1-A-A,5,AB_ Paralacydoniidae sp 1
UKSRL1 UK-1 UK1-A-B,4,AB_ Paralacydoniidae sp 1
UKSRL1 UK-1 UK1-A-C,1,AB_ Paralacydoniidae sp 1
UKSRL1 UK-1 UK1-A-D,1,AB_ Paralacydoniidae sp 1
UKSRL1 UK-1 UK1-A-E,3,AB_ Paralacydoniidae sp 1
UKSRL1 UK-1 UK1-A-F,2,AB_ Paralacydoniidae sp 1
UKSRL1 UK-1 UK1-A-H,6,AB_ Paralacydoniidae sp 1
UKSRL1 UK-1 UK1-A-I,1,AB_ Paralacydoniidae sp 1
UKSRL1 UK-1 UK1-A-J,3,AB_ Paralacydoniidae sp 1
UKSRL1 UK-1 UK1-A-K,2,AB_ Paralacydoniidae sp 1
UKSRL1 UK-1 UK1-A-F,1,AB_ Paraonidae sp 1
UKSRL1 UK-1 UK1-A-K,1,AB_ Paraonidae sp 1
UKSRL1 UK-1 UK1-A-A,1,AB_ Paraonidae sp 2
UKSRL1 UK-1 UK1-A-B,1,AB_ Paraonidae sp 2
UKSRL1 UK-1 UK1-A-C,1,AB_ Paraonidae sp 2
UKSRL1 UK-1 UK1-A-D,1,AB_ Paraonidae sp 2
UKSRL1 UK-1 UK1-A-F,3,AB_ Paraonidae sp 2
UKSRL1 UK-1 UK1-A-G,1,AB_ Paraonidae sp 2
UKSRL1 UK-1 UK1-A-H,3,AB_ Paraonidae sp 2
UKSRL1 UK-1 UK1-A-J,2,AB_ Paraonidae sp 2
UKSRL1 UK-1 UK1-A-K,1,AB_ Paraonidae sp 2
UKSRL1 UK-1 UK1-A-B,2,AB_ Paraonidae sp 3
UKSRL1 UK-1 UK1-A-D,1,AB_ Paraonidae sp 3
UKSRL1 UK-1 UK1-A-F,1,AB_ Paraonidae sp 3
UKSRL1 UK-1 UK1-A-G,1,AB_ Paraonidae sp 3
UKSRL1 UK-1 UK1-A-I,1,AB_ Paraonidae sp 3
UKSRL1 UK-1 UK1-A-L,1,AB_ Paraonidae sp 3
UKSRL1 UK-1 UK1-A-B,1,AB_ Paraonidae sp 4
UKSRL1 UK-1 UK1-A-C,1,AB_ Paraonidae sp 4
UKSRL1 UK-1 UK1-A-D,1,AB_ Paraonidae sp 4
UKSRL1 UK-1 UK1-A-F,2,AB_ Paraonidae sp 4
UKSRL1 UK-1 UK1-A-F,1,AB_ Paraonidae sp 5
UKSRL1 UK-1 UK1-A-A,1,AB_ Paraonidae sp 6
UKSRL1 UK-1 UK1-A-G,1,AB_ Paraonidae sp 6
UKSRL1 UK-1 UK1-A-H,1,AB_ Paraonidae sp 7
UKSRL1 UK-1 UK1-A-K,1,AB_ Paraonidae sp 7
UKSRL1 UK-1 UK1-A-B,1,AB_ Paraonidae sp 8
UKSRL1 UK-1 UK1-A-E,1,AB_ Paraonidae sp 8
UKSRL1 UK-1 UK1-A-F,1,AB_ Paraonidae sp 8
UKSRL1 UK-1 UK1-A-E,1,AB_ Paraonidae sp 9
UKSRL1 UK-1 UK1-A-L,1,AB_ Paraonidae sp 9
UKSRL1 UK-1 UK1-A-A,2,AB_ Pholoidae sp 1
UKSRL1 UK-1 UK1-A-C,1,AB_ Pholoidae sp 1
UKSRL1 UK-1 UK1-A-I,1,AB_ Pholoidae sp 1
UKSRL1 UK-1 UK1-A-J,1,AB_ Pholoidae sp 1
UKSRL1 UK-1 UK1-A-L,1,AB_ Pholoidae sp 1
UKSRL1 UK-1 UK1-A-A,1,AB_ Phyllodocidae sp 1
UKSRL1 UK-1 UK1-A-B,1,AB_ Phyllodocidae sp 1
UKSRL1 UK-1 UK1-A-F,1,AB_ Phyllodocidae sp 1
UKSRL1 UK-1 UK1-A-H,1,AB_ Phyllodocidae sp 1
UKSRL1 UK-1 UK1-A-A,1,AB_ Phyllodocidae sp 2
UKSRL1 UK-1 UK1-A-K,1,AB_ Phyllodocidae sp 2
UKSRL1 UK-1 UK1-A-B,1,AB_ Phyllodocidae sp 3
UKSRL1 UK-1 UK1-A-B,1,AB_ Phyllodocidae sp 4
UKSRL1 UK-1 UK1-A-C,2,AB_ Phyllodocidae sp 4
UKSRL1 UK-1 UK1-A-E,1,AB_ Phyllodocidae sp 4
UKSRL1 UK-1 UK1-A-J,1,AB_ Phyllodocidae sp 4
UKSRL1 UK-1 UK1-A-I,1,AB_ Phyllodocidae sp 5
UKSRL1 UK-1 UK1-A-B,1,AB_ Pilargidae sp 1
UKSRL1 UK-1 UK1-A-C,1,AB_ Pilargidae sp 1
UKSRL1 UK-1 UK1-A-D,1,AB_ Pilargidae sp 1
UKSRL1 UK-1 UK1-A-E,1,AB_ Pilargidae sp 1
UKSRL1 UK-1 UK1-A-I,1,AB_ Pilargidae sp 1
UKSRL1 UK-1 UK1-A-L,1,AB_ Pilargidae sp 1
UKSRL1 UK-1 UK1-A-E,1,AB_ Poecilochaetidae sp 1
UKSRL1 UK-1 UK1-A-F,1,AB_ Poecilochaetidae sp 1
UKSRL1 UK-1 UK1-A-K,1,AB_ Poecilochaetidae sp 1
UKSRL1 UK-1 UK1-A-A,1,AB_ Polynoidae sp 1
UKSRL1 UK-1 UK1-A-F,2,AB_ Sabellidae sp 1
UKSRL1 UK-1 UK1-A-H,2,AB_ Sabellidae sp 1
UKSRL1 UK-1 UK1-A-I,1,AB_ Sabellidae sp 1
UKSRL1 UK-1 UK1-A-A,1,AB_ Sabellidae sp 2
UKSRL1 UK-1 UK1-A-F,1,AB_ Sabellidae sp 2
UKSRL1 UK-1 UK1-A-G,1,AB_ Sabellidae sp 2
UKSRL1 UK-1 UK1-A-H,1,AB_ Sabellidae sp 2
UKSRL1 UK-1 UK1-A-K,1,AB_ Sabellidae sp 2
UKSRL1 UK-1 UK1-A-B,1,AB_ Sabellidae sp 3
UKSRL1 UK-1 UK1-A-I,1,AB_ Sabellidae sp 3
UKSRL1 UK-1 UK1-A-K,2,AB_ Sabellidae sp 3
UKSRL1 UK-1 UK1-A-L,1,AB_ Sabellidae sp 3
UKSRL1 UK-1 UK1-A-L,1,AB_ Sabellidae sp 4
UKSRL1 UK-1 UK1-A-B,1,AB_ Sabellidae sp 5
UKSRL1 UK-1 UK1-A-D,1,AB_ Sabellidae sp 5
