Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp A,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp B,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp C,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 1,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 2,sediment,macrofauna
Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus,,Poecilochaetus,Poecilochaetus sp. 133,sediment,macrofauna
Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus,,Poecilochaetus,Poecilochaetus sp. 18,sediment,macrofauna
Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus,,Poecilochaetus,Poecilochaetous sp.A,sediment,macrofauna
Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus,,Poecilochaetus,Poecilochaetus sp.1,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 14,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 14/412,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 155,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 2169,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 2611,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 268,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 2684,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 29,sediment,macrofauna
